,store,weekly_sales,holiday_flag,fuel_price,cpi,unemployment,year,month,day,weekday,temperature
60,14,2095599.93,0,4.046,185.9374378,8.521,2011.0,5.0,6.0,4.0,
61,10,1990371.02,0,3.882,130.6457931,7.545,2012.0,3.0,2.0,4.0,14.233333333333333
63,5,313358.15,0,3.594,224.0192873,5.4220000000000015,2012.0,10.0,19.0,4.0,20.650000000000002
64,4,2771397.17,0,3.149,129.8980645,5.143,2011.0,12.0,16.0,4.0,2.4666666666666655
65,10,1714309.9,0,3.287,127.1917742,8.744,,,,,6.35
66,18,1166117.85,0,2.792,132.6141935,9.342,2010.0,8.0,6.0,4.0,23.150000000000002
67,3,461622.22,0,2.572,214.4248812,7.3679999999999986,2010.0,2.0,5.0,4.0,7.616666666666668
70,18,1588430.71,0,3.139,,9.331,2010.0,12.0,17.0,4.0,-2.5555555555555562
72,13,2461468.35,0,2.817,126.7934,7.795,2010.0,12.0,10.0,4.0,2.6555555555555563
73,1,1449142.92,0,2.619,211.5673056,7.787000000000001,2010.0,8.0,27.0,4.0,29.56666666666667
74,1,1508068.77,0,3.594,223.4257233,,2012.0,10.0,19.0,4.0,19.983333333333334
75,20,1973135.87,0,2.8080000000000003,204.5675459,7.856,2010.0,6.0,25.0,4.0,23.983333333333334
76,15,570611.23,0,4.021,137.5843871,7.943,2012.0,3.0,16.0,4.0,8.566666666666668
78,1,1539483.7,0,3.3080000000000003,218.2205088,7.866,2011.0,11.0,18.0,4.0,16.805555555555557
79,20,1789687.65,0,,,7.527,2010.0,9.0,24.0,4.0,20.761111111111113
80,9,519823.3,0,2.7710000000000004,215.43728540000004,6.56,2010.0,11.0,19.0,4.0,9.97777777777778
81,5,359206.21,0,3.63,221.4342146,5.943,,,,,
82,11,1569607.94,0,3.51,223.9170153,6.832999999999998,,,,,11.538888888888891
83,15,607475.44,0,3.972,135.8738387,7.806,,,,,26.65
85,2,1758050.79,0,2.9760000000000004,211.0648881,8.027999999999999,2011.0,1.0,7.0,4.0,7.049999999999999
86,17,986922.62,0,3.793,131.03754840000002,6.235,,,,,
87,3,431985.36,0,3.688,225.2351496,6.664,2012.0,5.0,11.0,4.0,23.994444444444444
88,20,2045837.55,0,3.739,213.4725116,6.961,,,,,4.3277777777777775
89,2,1797732.56,0,3.786,215.1544822,7.931,,,,,24.67777777777778
90,9,485389.15,0,2.642,214.6564301,6.442,2010.0,7.0,9.0,4.0,25.83888888888889
91,17,1046782.52,0,3.63,,5.936,,,,,20.505555555555553
92,3,384200.69,0,2.667,214.7027646,,,,,,
94,14,1953544.76,0,3.76,186.1399808,8.625,2011.0,7.0,15.0,4.0,25.816666666666666
95,1,1494251.5,0,2.854,210.3374261,7.808,2010.0,5.0,14.0,4.0,23.766666666666666
96,8,860336.16,0,,214.7492449,6.299,2010.0,3.0,12.0,4.0,9.866666666666665
97,5,298697.84,0,,210.939388,,2010.0,4.0,30.0,4.0,19.73888888888889
98,10,1768172.31,0,,126.1266,9.524,2010.0,6.0,25.0,4.0,32.4
99,13,2018314.71,0,2.814,126.1392,7.951,2010.0,7.0,2.0,4.0,26.011111111111106
100,3,364076.85,0,2.637,214.7858259,7.343,2010.0,6.0,18.0,4.0,28.62222222222222
101,2,1799520.14,0,,219.355063,7.057,2012.0,1.0,6.0,4.0,8.194444444444445
102,18,1087051.26,0,3.815,135.4468,8.89,,,,,20.97222222222222
103,4,2302504.86,0,2.86,126.7934,7.127000000000002,2010.0,12.0,10.0,4.0,5.777777777777777
104,3,419497.95,0,3.346,225.3068615,6.664,2012.0,6.0,22.0,4.0,28.166666666666668
105,19,1366395.96,0,2.932,132.5983871,8.099,2010.0,7.0,30.0,4.0,22.68333333333333
106,14,2095591.63,0,,,8.992,2010.0,2.0,26.0,4.0,1.6055555555555558
107,8,994801.4,1,2.548,214.62141890000004,6.299,2010.0,2.0,12.0,4.0,0.7444444444444464
108,18,1256282.79,0,2.906,132.2939355,,2010.0,5.0,28.0,4.0,20.622222222222224
110,20,1799737.79,1,3.179,204.6432267,7.484,2010.0,12.0,31.0,4.0,-1.7499999999999991
111,19,1468350.36,0,3.722,138.1629,8.15,2012.0,6.0,22.0,4.0,
112,2,2124451.54,0,2.514,210.9451605,,2010.0,2.0,19.0,4.0,4.272222222222221
113,13,1811606.21,0,,130.27922579999998,6.104,2012.0,1.0,20.0,4.0,0.39444444444444493
114,11,1757242.51,1,2.735,215.0614025,7.564,2010.0,11.0,26.0,4.0,21.055555555555557
115,15,660838.75,0,2.909,131.637,,2010.0,2.0,19.0,4.0,
116,7,457340.06,0,3.936,197.7227385,8.09,2012.0,4.0,20.0,4.0,4.055555555555554
118,9,513073.87,0,2.637,215.0166484,6.384,2010.0,6.0,18.0,4.0,28.327777777777776
119,14,1864746.1,0,3.193,182.5983058,,2011.0,1.0,7.0,4.0,1.288888888888889
120,8,836707.85,0,2.582,214.8785562,6.315,2010.0,9.0,17.0,4.0,24.066666666666663
121,5,275142.17,0,3.682,216.0464364,6.529,2011.0,7.0,29.0,4.0,31.900000000000002
122,7,597876.55,1,3.596,198.0950484,7.872000000000001,2012.0,9.0,7.0,4.0,14.355555555555558
123,1,1466046.67,0,3.786,215.5037878,7.682,2011.0,5.0,27.0,4.0,
124,19,1467473.63,0,,134.94254840000002,7.657999999999999,2011.0,6.0,10.0,4.0,20.144444444444446
125,3,398838.97,0,3.3080000000000003,221.6432852,7.197,2011.0,11.0,18.0,4.0,17.727777777777774
127,16,614253.33,0,2.7110000000000003,189.5231276,6.867999999999999,2010.0,7.0,9.0,4.0,16.549999999999997
128,13,1970341.38,0,3.606,129.2015806,6.877000000000002,2011.0,8.0,12.0,4.0,24.416666666666668
129,18,1048134.24,0,3.84,138.1857097,8.535,,,,,22.916666666666668
130,13,2025582.62,0,3.529,130.82619350000002,6.104,2012.0,3.0,16.0,4.0,11.38888888888889
131,17,855459.96,0,2.8310000000000004,126.5461613,,2010.0,11.0,12.0,4.0,
132,4,2036231.39,0,3.627,129.1507742,5.644,2011.0,7.0,22.0,4.0,28.244444444444447
136,4,2066541.86,0,3.469,129.1125,5.644,2011.0,7.0,8.0,4.0,29.216666666666672
137,10,1831676.03,0,3.112,126.1283548,9.199,,,,,31.355555555555554
138,6,1639358.93,0,3.807,217.0146941,6.855,2011.0,4.0,22.0,4.0,23.466666666666665
139,7,532739.77,0,3.804,197.5886046,8.09,2012.0,5.0,25.0,4.0,10.333333333333334
141,5,301827.36,0,,212.5604113,6.768,2010.0,11.0,12.0,4.0,16.87222222222222
142,3,403342.4,0,3.285,,7.197,2011.0,10.0,7.0,4.0,24.188888888888894
143,3,396968.8,0,2.705,214.4958382,7.343,2010.0,6.0,4.0,4.0,25.85
144,3,424513.08,0,3.594,226.9688442,6.034,2012.0,10.0,19.0,4.0,23.022222222222222
145,14,2248645.59,0,2.78,182.4424199,8.899,2010.0,6.0,18.0,4.0,22.56666666666667
146,7,716388.81,0,2.778,,,,,,,-6.255555555555556
147,17,845252.21,0,2.841,126.1119032,,2010.0,6.0,11.0,4.0,13.966666666666667
148,8,856796.1,0,3.638,219.0075249,,2011.0,8.0,12.0,4.0,30.02777777777778
149,19,1255087.26,0,4.17,137.9230667,8.15,2012.0,4.0,20.0,4.0,12.888888888888891
